Country,Region,Continent,Population_M,New_Cases_2022,Deaths_2022,Incidence_Rate_Per_100K,Mortality_Rate_Per_100K,Five_Year_Survival_Pct,Stage_I_II_Pct,Screening_Program,Mammography_Coverage_Pct,Treatment_Access_Score,Healthcare_Quality_Index,Survival_Efficiency_Ratio,Detection_Efficiency_Score,Mortality_Burden_Index,Case_Fatality_Ratio,Income_Group,Expected_Survival_ByIncome,Survival_Gap_vs_Benchmark,StageShift_Potential,Modifiable_Risk_PAF_Sum,Lifestyle_vs_Genetic_Ratio,Max_RR_Modifiable,Weighted_PAF_Score,Mammography_x_Treatment,Screening_x_Stage,Incidence_x_HQI,Log_New_Cases,Log_Population,Mammography_Squared,Continent_Survival_Encoded,Region_Incidence_Mean,Region_Screening_Penetration,WHO_EarlyDetection_Gap,WHO_Treatment_Gap,WHO_Fully_Compliant,Risk_Score_Raw,Risk_Tier
South Korea,East Asia,Asia,51.7,25500,2800,64.2,6.4,93.6,62,True,66.5,92,55.06666666666666,1.4579439252336448,41.230000000000004,541.5860735009671,10.980392156862745,High,91.63000000000001,1.9699999999999847,4,30.0,0.3592814371257485,1.7,250.0,6118.0,62,3535.2799999999997,10.146472946063877,3.9646154555473165,4422.25,72.69411764705882,56.5,100.0,-2,-12,1,25.18639175257732,Low
Russia,Eastern Europe,Europe,144.1,74500,22900,48.0,14.4,72.0,38,True,30.0,60,34.666666666666664,1.5,11.4,1589.1741845940319,30.73825503355705,UpperMid,64.94,7.060000000000002,17,30.0,0.3592814371257485,1.7,250.0,1800.0,38,1664.0,11.218567827096358,4.977423159890142,900.0,85.88461538461539,55.25,100.0,22,20,0,54.379381443298975,High
Mexico,Central America,Americas,130.0,29929,7920,32.8,10.6,70.0,35,False,22.0,55,24.2,2.1341463414634148,7.7,609.2307692307692,26.462628220120955,LowerMid,39.300000000000004,30.699999999999996,0,30.0,0.3592814371257485,1.7,250.0,1210.0,0,793.7599999999999,10.306616600846745,4.875197323201151,484.0,77.05555555555556,32.8,0.0,25,25,0,49.123711340206185,Mid
Turkey,Western Asia,Asia,85.3,24800,5500,46.8,10.0,80.0,48,True,38.0,72,40.800000000000004,1.7094017094017095,18.240000000000002,644.7831184056272,22.177419354838708,UpperMid,64.94,15.060000000000002,7,30.0,0.3592814371257485,1.7,250.0,2736.0,48,1909.44,10.118639253920785,4.457829598089382,1444.0,72.69411764705882,42.519999999999996,100.0,12,8,0,40.64123711340207,Mid
Indonesia,Southeast Asia,Asia,273.8,65858,22000,36.2,11.8,60.0,25,False,5.0,40,14.666666666666666,1.6574585635359114,1.25,803.5062089116143,33.40520513832792,LowerMid,39.300000000000004,20.699999999999996,10,30.0,0.3592814371257485,1.7,250.0,200.0,0,530.9333333333334,11.095271372092032,5.616043560348194,25.0,72.69411764705882,40.76666666666667,50.0,35,40,0,57.78865979381443,High
Nigeria,West Africa,Africa,218.5,28000,15500,31.8,17.0,30.0,15,False,2.0,22,7.866666666666667,0.9433962264150944,0.3,709.3821510297482,55.35714285714286,Low,20.29,9.71,2,30.0,0.3592814371257485,1.7,250.0,44.0,0,250.16000000000003,10.239995502805316,5.391352232515226,4.0,38.333333333333336,28.4,0.0,45,58,0,80.6701030927835,High
South Africa,Southern Africa,Africa,59.9,12000,5200,41.0,15.5,40.0,20,False,12.0,38,15.866666666666667,0.975609756097561,2.4,868.1135225375626,43.333333333333336,Low,20.29,19.71,-3,30.0,0.3592814371257485,1.7,250.0,456.0,0,650.5333333333333,9.392745258631441,4.109233174715851,144.0,38.333333333333336,41.0,0.0,40,42,0,72.9639175257732,High
Egypt,North Africa,Africa,109.3,23000,10500,38.7,16.2,55.0,28,False,10.0,45,17.666666666666668,1.421188630490956,2.8000000000000003,960.658737419945,45.65217391304348,LowerMid,39.300000000000004,15.699999999999996,7,30.0,0.3592814371257485,1.7,250.0,450.0,0,683.7,10.043292972227004,4.703203926259457,100.0,38.333333333333336,39.35,0.0,32,35,0,66.57680412371134,High
Pakistan,South Asia,Asia,231.4,34000,18500,34.5,15.6,45.0,18,False,3.0,30,10.799999999999999,1.3043478260869565,0.54,799.4814174589455,54.41176470588235,Low,20.29,24.71,-1,30.0,0.3592814371257485,1.7,250.0,90.0,0,372.59999999999997,10.434145214930487,5.448460024977757,9.0,72.69411764705882,26.53333333333333,0.0,42,50,0,71.99432989690722,High
Bangladesh,South Asia,Asia,169.4,14000,8200,19.3,10.7,48.0,20,False,2.5,28,10.0,2.4870466321243523,0.5,484.06139315230223,58.57142857142858,Low,20.29,27.71,-3,30.0,0.3592814371257485,1.7,250.0,70.0,0,193.0,9.546884034617925,5.138148614395216,6.25,72.69411764705882,26.53333333333333,0.0,40,52,0,61.504123711340206,High
Vietnam,Southeast Asia,Asia,98.2,21555,6800,34.0,9.8,70.0,32,False,10.0,55,21.0,2.0588235294117645,3.2,692.4643584521385,31.547204824866622,LowerMid,39.300000000000004,30.699999999999996,3,30.0,0.3592814371257485,1.7,250.0,550.0,0,714.0,9.978409479053388,4.597138014290827,100.0,72.69411764705882,40.76666666666667,50.0,28,25,0,48.58041237113403,Mid
Thailand,Southeast Asia,Asia,71.8,22000,6300,37.8,10.9,72.0,35,True,25.0,62,34.0,1.9047619047619049,8.75,877.4373259052925,28.636363636363637,UpperMid,64.94,7.060000000000002,20,30.0,0.3592814371257485,1.7,250.0,1550.0,35,1285.1999999999998,9.99884318585288,4.28771595520264,625.0,72.69411764705882,40.76666666666667,50.0,25,18,0,48.96494845360825,Mid
